A,B,M,N
4,48,39,16
4,48,16,36
4,48,36,19
4,48,19,33
4,48,33,22
4,50,7,47
4,50,47,10
4,50,10,44
4,50,44,13
4,50,13,41
4,50,41,16
4,50,16,38
4,50,38,19
4,50,19,35
4,50,35,22
4,52,7,49
4,52,49,10
4,52,10,46
4,52,46,13
4,52,13,43
4,52,43,16
4,52,16,40
4,52,40,19
4,52,19,37
4,52,37,22
4,54,7,51
4,54,51,10
4,54,10,48
4,54,48,13
4,54,13,45
4,54,45,16
4,54,16,42
4,54,42,19
4,54,19,39
4,54,39,22
4,56,7,53
4,56,53,10
4,56,10,50
4,56,50,13
4,56,13,47
4,56,47,16
4,56,16,44
4,56,44,19
4,56,19,41
4,56,41,22
4,58,7,55
4,58,55,10
4,58,10,52
4,58,52,13
4,58,13,49
4,58,49,16
4,58,16,46
4,58,46,19
4,58,19,43
4,58,43,22
4,60,8,56
4,60,56,12
4,60,12,52
4,60,52,16
4,60,16,48
4,60,48,20
4,60,20,44
4,60,44,24
4,60,24,40
4,60,40,28
4,62,8,58
4,62,58,12
4,62,12,54
4,62,54,16
4,62,16,50
4,62,50,20
4,62,20,46
4,62,46,24
4,62,24,42
4,62,42,28
4,64,8,60
4,64,60,12
4,64,12,56
4,64,56,16
4,64,16,52
4,64,52,20
4,64,20,48
4,64,48,24
4,64,24,44
4,64,44,28
4,66,8,62
4,66,62,12
4,66,12,58
4,66,58,16
4,66,16,54
4,66,54,20
4,66,20,50
4,66,50,24
4,66,24,46
4,66,46,28
4,68,8,64
4,68,64,12
4,68,12,60
4,68,60,16
4,68,16,56
4,68,56,20
4,68,20,52
4,68,52,24
4,68,24,48
4,68,48,28
4,70,8,66
4,70,66,12
4,70,12,62
4,70,62,16
4,70,16,58
4,70,58,20
4,70,20,54
4,70,54,24
4,70,24,50
4,70,50,28
4,72,8,68
4,72,68,12
4,72,12,64
4,72,64,16
4,72,16,60
4,72,60,20
4,72,20,56
4,72,56,24
4,72,24,52
4,72,52,28
5,6,7,8
5,6,8,9
5,6,9,10
5,6,10,11
5,6,11,12
5,6,12,13
5,6,13,14
5,6,14,15
5,6,15,16
5,6,16,17
16,17,18,19
16,17,19,20
16,17,20,21
16,17,21,22
16,17,22,23
16,17,23,24
16,17,24,25
16,17,25,26
16,17,26,27
16,17,27,28
16,17,15,14
16,17,14,13
16,17,13,12
16,17,12,11
16,17,11,10
16,17,10,9
16,17,9,8
16,17,8,7
16,17,7,6
16,17,6,5
5,7,9,11
5,7,11,13
5,7,13,15
5,7,15,17
5,7,17,19
5,7,19,21
5,7,21,23
5,7,23,25
5,7,25,27
5,7,27,29
27,29,31,33
27,29,33,35
27,29,35,37
27,29,37,39
27,29,39,41
27,29,41,43
27,29,43,45
27,29,45,47
27,29,47,49
27,29,49,51
27,29,25,23
27,29,23,21
27,29,21,19
27,29,19,17
27,29,17,15
27,29,15,13
27,29,13,11
27,29,11,9
27,29,9,7
27,29,7,5
5,8,6,7
5,8,7,11
5,8,11,14
5,8,14,17
5,8,17,20
5,8,20,23
5,8,23,26
5,8,26,29
5,8,29,32
5,8,32,35
32,35,33,34
32,35,34,38
32,35,38,41
32,35,41,44
32,35,44,47
32,35,47,50
32,35,50,53
32,35,53,56
32,35,56,59
32,35,59,62
32,35,34,33
32,35,33,29
32,35,29,26
32,35,26,23
32,35,23,20
32,35,20,17
32,35,17,14
32,35,14,11
32,35,11,8
32,35,8,5
5,9,6,8
5,9,8,13
5,9,13,17
5,9,17,21
5,9,21,25
5,9,25,29
5,9,29,33
5,9,33,37
5,9,37,41
5,9,41,45
41,45,44,42
41,45,42,37
41,45,37,33
41,45,33,29
41,45,29,25
41,45,25,21
41,45,21,17
41,45,17,13
41,45,13,9
41,45,9,5
5,10,6,9
5,10,9,15
5,10,15,20
5,10,20,25
5,10,25,30
5,10,30,35
5,10,35,40
5,10,40,45
5,10,45,50
5,10,50,55
50,55,54,51
50,55,51,45
50,55,45,40
50,55,40,35
50,55,35,30
50,55,30,25
50,55,25,20
50,55,20,15
50,55,15,10
50,55,10,5
5,11,6,10
5,11,10,17
5,11,17,23
5,11,23,29
5,11,29,35
5,11,35,41
5,11,41,47
5,11,47,53
5,11,53,59
5,11,59,65
59,65,64,60
59,65,60,53
59,65,53,47
